longitude,Latitude,pH,EC,OC,N,P,K
94.78390191,24.3408438,8.1,0.08,0.4,149,3.5,362.5
86.2319506,24.35501046,8.6,0.1,0.36,141,8.75,527.5
179.5900808,25.01001099,8.3,0.11,0.42,149,8.75,568.75
98.17390211,25.14000322,8.4,0.11,0.29,125,5.25,485
81.746944,25.296944,6.9,0.52,0,147.5,35,260
90.4794512,26.06472597,8.4,0.12,0.34,133,8.75,596.25
78.88833352,26.11056736,8,0.19,0.45,157,5.25,485
83.293573,26.2194,7.6,0.38,0,175,15,230
158.8100642,26.36195651,8.4,0.12,0.48,157,10.5,500
82.459444,26.414167,7.52,0.56,0,172.5,22.5,322.5
85.08000523,26.50445663,8.6,0.1,0.45,157,8.75,527.5
168.1900717,26.5200122,8.4,0.08,0.42,149,8.75,596.25
95.38001347,26.52390109,8.4,0.28,0.42,149,7,568.75
83.4,26.71,8,0.44,0,182.5,12.5,202.5
83.974167,26.808889,7.67,0.56,0,185,20,302.5
79.59166751,26.81001243,8.6,0.12,0.45,157,5.25,637.5
80.2276,27.07671,7.51,0.64,0,160,22.5,292.5
83.670834,27.116111,7.78,0.71,0,147.5,22.5,220
83.6711,27.1162,7.78,0.71,0,147.5,22.5,220
237.7401274,27.38001287,8.5,0.12,0.57,173,10.5,596.25
79.3229,27.4499,7.5,0.71,0,137.5,25,302.5
78.6884,27.4725,7.81,0.48,0,177.5,20,365
79.47555631,27.5577908,8.5,0.1,0.42,149,10.5,541.25
79.64083422,27.8950133,8.4,0.06,0.42,149,10.5,513.75
80.28416806,27.94001333,8.3,0.07,0.37,141,7,555
79.433819,28.120937,7.3,0.62,0,157.5,27.5,260
79.463314,28.204268,7.73,0.58,0,140,25,220
107.7311322,28.28972703,8.07,0.06,0.49,157,7,805
107.7327988,28.29111592,8.07,0.06,0.49,157,7,805
77.41,28.291666,7.81,0.74,0,165,35,250
107.7333544,28.29167148,8.07,0.06,0.49,157,7,805
107.7311322,28.29250481,8.07,0.06,0.49,157,7,805
77.9,28.5,7.63,0.64,0,157.5,25,302.5
78.053611,29.148889,7.36,0.52,0,165,20,292.5
78.053333,29.148889,7.36,0.52,0,165,20,292.5
78.053056,29.148889,7.36,0.52,0,165,20,292.5
219.7101129,30.22001515,8.4,0.09,0.51,165,8.75,527.5
102.1800189,34.52001859,8.4,0.09,0.54,165,10.5,887.5
90.0455624,34.63445666,8.3,0.11,0.43,149,7,527.5
90.0152846,34.65001223,8.3,0.11,0.43,149,7,527.5
90.0797291,34.74362342,8.3,0.11,0.43,149,7,527.5
79.36694524,36.78002039,8.4,0.09,0.37,141,5.25,541.25
127.240039,36.78002039,8.4,0.08,0.37,141,3.5,568.75
78.85638915,39.77002279,8.3,0.08,0.46,157,8.75,541.25
79.04500033,39.87002281,7.2,0.07,0.43,149,7,65
126.5400384,42.18002471,8.6,0.1,0.48,157,10.5,485
130.0900413,43.21002555,8.3,0.09,0.436,149,7,541.25
80.1813902,43.47863686,8.5,0.09,0.51,165,15.63,430
79.31000062,44.17002632,8.4,0.09,0.46,157,3.5,388.75
178.9700803,45.29002713,7.4,0.07,0.4,149,5.25,65
80.1738902,46.61002826,8.4,0.09,0.57,173,12.5,596.25
217.1301109,48.96003014,8.4,0.08,0.57,173,10.5,527.5
91.70195499,49.11003026,8.3,0.07,0.37,141,7,485
113.530028,53.23003356,8.2,0.1,0.4,149,3.5,513.75
79.75027876,57.9100373,8.5,0.08,0.4,149,3.5,457.5
114.7028091,58.12225832,8.04,0.08,0.39,141,10.63,725
79.04138928,65.01004298,8.4,0.09,0.54,165,3.5,443.75
81.21000215,67.41004492,8.4,0.1,0.37,141,5.25,500
79.14472275,68.44004575,8.4,0.1,0.43,149,3.5,272.5
182.3700831,68.74004597,8.4,0.09,0.34,133,5.25,513.75
79.16000049,69.56004662,8.3,0.1,0.48,157,7,388.75
160.7045102,74.41005051,8.4,0.09,0.37,141,8.75,500
167.8800715,75.38005128,8.3,0.1,0.37,141,7,541.25
141.2300502,76.42005212,8.26,0.15,0.39,140,11,350
82.69000333,80.59005545,8.2,0.12,0.43,149,7,555
79.63194532,82.24005676,8.4,0.12,0.34,133,10.5,596.25
79.01083371,86.71006035,8.3,0.1,0.37,141,7,513.75
79.08250045,88.24006157,8.4,0.09,0.43,149,3.5,555
93.93001232,89.04006221,8.6,0.11,0.39,141,7,513.75
142.0600507,95.70451192,6.9,0.1,0.43,149,8.75,60
168.0200716,96.13006787,8.4,0.11,0.2,117,8.75,485
82.27083633,97.09006865,8.4,0.12,0.45,157,5.25,568.75
106.9800228,98.23006956,8.5,0.14,0.39,141,1.75,527.5
79.88333422,99.67007072,8.4,0.14,0.42,149,5.25,458.75
87.84500746,99.95618206,8.5,0.11,0.45,157,3.5,568.75
86.83222887,101.4400721,8.3,0.2,0.36,141,7,555
81.47000235,102.3400729,8.6,0.13,0.36,141,3.5,555
179.4300807,102.6400731,8.4,0.11,0.45,157,3.5,513.75
196.2900942,106.5900763,8.5,0.15,0.34,133,3.5,582.5
81.81389152,113.770082,8.3,0.13,0.43,149,5.25,555
175.9714668,114.5100826,8.5,0.13,0.45,157,5.25,596.25
79.75500097,114.6100827,8.6,0.12,0.42,149,1.75,582.5
79.78277877,115.7467502,8.5,0.11,0.34,133,1.75,555
88.80500821,117.9100853,8.5,0.12,0.39,141,3.5,610
235.0101252,118.6400859,8.6,0.1,0.465,157,7,582.5
79.76111209,119.6100867,8.5,0.14,0.42,149,7,500
79.79944545,120.010087,8.4,0.19,0.34,133,5.25,568.75
86.16000611,121.9400885,8.3,0.11,0.43,149,7,527.5
79.74305652,121.9900886,8.4,0.14,0.39,141,5.25,527.5
79.86111217,122.560089,8.5,0.09,0.36,141,5.25,513.75
80.5300016,124.422035,8.3,0.09,0.34,133,8.75,582.2
79.44750073,125.6200915,8.4,0.12,0.39,141,10.5,485
93.44001184,126.4400921,7,0.09,0.37,141,3.5,65
199.1700965,130.020095,8.4,0.12,0.34,133,8.75,596.25
195.1400933,131.9400965,8.6,0.13,0.39,141,7,485
80.64500169,131.9600965,8.5,0.13,0.42,149,12.5,568.75
148.7300562,131.9800966,8.5,0.1,0.42,149,7,541.25
90.98000995,132.8100972,8.4,0.09,0.48,157,5.25,541.25
79.34916732,133.8700981,8.6,0.11,0.42,149,12.5,582.5
191.3600903,134.1300983,8.2,0.13,0.36,141,8.75,650
119.8800331,138.1201015,8.3,0.09,0.4,149,3.5,485
192.3700911,138.1701015,8.3,0.11,0.34,133,1.75,527.5
159.1900644,138.2228793,7,0.08,0.43,149,5.25,75
338.8990972,138.8401021,8.3,0.09,0.43,149,3.5,340
231.5701225,139.2101024,8.3,0.11,0.37,141,5.25,340
151.3700583,140.1601031,8.3,0.1,0.45,157,12.5,527.5
79.54805637,140.7601036,8.5,0.1,0.45,157,3.5,568.75
131.7600425,143.2801055,7.2,0.08,0.34,133,8.75,65
117.210031,143.4101057,8.2,0.09,0.43,149,8.75,416.25
89.21500845,145.3801072,7.6,0.06,0.37,141,3.5,62.5
155.1300612,146.6401082,7.4,0.05,0.4,149,5.25,70
143.1600517,149.8345553,8.4,0.13,0.34,133,8.75,596.25
83.84000425,151.6401123,8.6,0.1,0.39,141,7,582.5
153.2100596,151.6901123,7,0.07,0.34,133,3.5,67.5
153.1900597,152.3101128,8.4,0.13,0.39,141,12.5,568.75
154.9767278,153.7584473,8.4,0.1,0.34,133,7,555
129.1989294,154.2601144,8.4,0.11,0.39,141,10.5,471.25
170.7700738,154.6801147,8.5,0.12,0.45,157,10.5,555
120.0900333,154.9401149,8.3,0.12,0.37,141,5.25,541.25
154.0100604,155.6301155,8.3,0.09,0.36,141,10.5,513.75
96.52001439,156.260116,8.5,0.09,0.4,149,7,582.5
80.21000134,165.7401236,8.2,0.08,0.31,133,7,485
124.3800367,166.81568,8.5,0.09,0.43,149,10.5,443.75
79.14388937,168.730126,8.2,0.1,0.31,133,7,555
80.21000136,169.1204041,8.4,0.08,0.4,149,7,610
173.9200763,169.1701263,8.4,0.09,0.4,149,7,712.5
94.77195747,171.4067948,8.2,0.08,0.46,157,7,388.75
79.26805614,172.0401286,8,0.09,0.34,133,8.75,596.25
112.6200273,172.6401291,8.4,0.09,0.4,149,10.5,513.75
204.4601008,172.6701291,8.4,0.09,0.43,149,1.75,527.5
96.31001423,174.5301306,8.4,0.11,0.42,149,7,596.25
79.56805639,175.030131,8.4,0.1,0.34,133,7,513.75
95.97001395,175.030131,8.1,0.09,0.37,141,5.25,457.5
141.4100503,639.6660583,8.4,0.11,0.34,133,7,500
85.7130613,18.39445014,8.3,0.09,0.34,133,8.75,457.6
