longitude,Latitude,pH,EC,OC,N,P,K
79.45666696,11.8233335,8.01,0.19,0.51,165,25,902.5
79.49333367,11.82416684,7.93,0.09,0.51,165,10.5,700
79.43833362,11.82444461,7.98,0.14,0.44,149,18.75,805
79.47027808,11.82444461,8.02,0.18,0.44,149,12.5,846.25
79.44055585,11.82527796,8.04,0.16,0.4,147.5,10.5,943.75
79.46583364,11.82611129,7.98,0.07,0.44,149,10.5,777.5
79.44583363,11.82666685,8.03,0.13,0.49,157,5.25,750
79.46388919,11.8272224,7.87,0.05,0.49,157,8.75,902.5
79.44194474,11.82861128,8.07,0.09,0.49,157,12.5,1067.5
79.42944474,11.82888908,7.99,0.1,0.31,133,16.25,1027.5
79.5800004,11.82888908,8.02,0.08,0.37,141,16.25,916.25
79.45250029,11.83000017,8.02,0.19,0.51,165,8.75,513.75
79.44250029,11.8322224,8.03,0.09,0.4,149,10.5,902.5
79.46694475,11.8372224,7.94,0.28,0.51,165,7,875
79.45611141,11.8372224,8.09,0.08,0.49,157,5.25,818.75
79.4675003,11.83777796,7.96,0.06,0.44,149,18.75,875
79.43555584,11.8383335,8.04,0.17,0.49,157,12.5,943.75
79.47277809,11.83861128,7.96,0.09,0.49,157,18.75,875
79.4725003,11.83861129,7.93,0.19,0.49,157,8.75,805
79.69222273,11.83861133,8.3,0.12,0.38,141,12.5,700
79.45972252,11.83888907,8.02,0.09,0.49,157,12.5,750
79.46027808,11.8397224,7.97,0.09,0.49,157,12.5,902.5
79.44916697,11.84138906,8.01,0.25,0.44,149,7,791.25
79.44666696,11.84166685,8.02,0.11,0.51,165,8.75,777.5
79.45638919,11.84444462,7.9,0.14,0.46,157,18.75,700
79.07972245,11.8463891,7.86,0.1,0.15,109,16.25,485
79.45944474,11.84777796,8.01,0.16,0.46,157.23,10.5,846.25
80.40027885,11.85083355,8.13,0.07,0.17,109,3.75,763.75
79.68472272,11.85194468,8.2,0.09,0.33,133,7,763.75
79.56222261,11.85583355,7.98,0.08,0.31,133,6.88,902.5
79.44444474,11.86138911,8.16,0.09,0.27,125,23.13,1055
79.6711116,11.86416691,8.06,0.1,0.58,173,3.75,916.25
79.54166704,11.87500023,8.43,0.06,0.17,109,6.88,916.25
80.70083505,11.87500047,8.2,0.14,0.4,149,10.5,375
81.9072245,11.87888914,8.16,0.09,0.31,133,16.25,1027.5
79.65944492,11.88055581,8.1,0.08,0.44,149,15.63,832.5
79.44444474,11.88250024,8.02,0.11,0.21,117,6.88,957.5
79.48888922,11.89472249,8.1,0.1,0.25,125,21.88,737.5
80.29388986,11.89833358,8.05,0.1,0.37,141,16.25,1082.5
79.47250032,11.90277805,8.1,0.09,0.35,141,15.63,846.25
79.43388918,11.90333361,8,0.06,0.35,141,10.5,662.5
79.5055559,11.90444472,8,0.08,0.3,133,18.75,527.5
79.67111156,11.91111137,8.1,0.18,0.54,165,8.75,443.75
79.63138932,11.91722248,8.1,0.21,0.4,149,12.5,402.5
79.59472264,11.92222249,8.05,0.07,0.37,141,8.75,916.25
79.50611146,11.92305584,8.01,0.06,0.29,125,14.38,957.5
79.60111154,11.92444473,8.2,0.11,0.25,125,18.75,637.5
79.57222263,11.92555584,8.05,0.08,0.42,109,6.88,971.25
79.68666713,11.93305583,8.1,0.18,0.52,165,10.5,443.75
80.11889015,11.93472274,8.2,0.09,0.51,165,12.5,568.75
79.08694487,11.94000052,8.5,0.11,0.4,149,7,596.25
79.68972268,11.94277806,8.1,0.15,0.39,141,5.25,500
79.5927782,11.94277808,8.2,0.08,0.33,133,10.5,610
79.66111157,11.9497225,8.3,0.19,0.31,133,10.5,375
79.62333378,11.95250031,8,0.11,0.27,125,25,527.5
79.59972264,11.95472252,8.01,0.1,0.3,133,10.5,971.25
79.67833379,11.96055585,8.1,0.16,0.59,173,7,485
78.88250019,11.96333383,8,0.15,0.51,165,7,500
